"site","latitude","longitude"
261,49.7391304347826,-122.173913043478
262,49.7391304347826,-120
263,49.7391304347826,-117.826086956522
264,49.7391304347826,-115.652173913043
265,49.7391304347826,-113.478260869565
266,49.7391304347826,-111.304347826087
267,49.7391304347826,-109.130434782609
268,49.7391304347826,-106.95652173913
269,49.7391304347826,-104.782608695652
270,49.7391304347826,-102.608695652174
271,49.7391304347826,-100.434782608696
272,49.7391304347826,-98.2608695652174
273,49.7391304347826,-96.0869565217391
274,49.7391304347826,-93.9130434782609
275,49.7391304347826,-91.7391304347826
276,49.7391304347826,-89.5652173913043
277,49.7391304347826,-87.3913043478261
278,49.7391304347826,-85.2173913043478
279,49.7391304347826,-83.0434782608696
280,49.7391304347826,-80.8695652173913
281,49.7391304347826,-78.695652173913
282,49.7391304347826,-76.5217391304348
283,49.7391304347826,-74.3478260869565
284,49.7391304347826,-72.1739130434783
285,49.7391304347826,-70
286,49.7391304347826,-67.8260869565217
235,47.5652173913043,-122.173913043478
236,47.5652173913043,-120
237,47.5652173913043,-117.826086956522
238,47.5652173913043,-115.652173913043
239,47.5652173913043,-113.478260869565
240,47.5652173913043,-111.304347826087
241,47.5652173913043,-109.130434782609
242,47.5652173913043,-106.95652173913
243,47.5652173913043,-104.782608695652
244,47.5652173913043,-102.608695652174
245,47.5652173913043,-100.434782608696
246,47.5652173913043,-98.2608695652174
247,47.5652173913043,-96.0869565217391
248,47.5652173913043,-93.9130434782609
249,47.5652173913043,-91.7391304347826
250,47.5652173913043,-89.5652173913043
251,47.5652173913043,-87.3913043478261
252,47.5652173913043,-85.2173913043478
253,47.5652173913043,-83.0434782608696
254,47.5652173913043,-80.8695652173913
255,47.5652173913043,-78.695652173913
256,47.5652173913043,-76.5217391304348
257,47.5652173913043,-74.3478260869565
258,47.5652173913043,-72.1739130434783
259,47.5652173913043,-70
260,47.5652173913043,-67.8260869565217
209,45.3913043478261,-122.173913043478
210,45.3913043478261,-120
211,45.3913043478261,-117.826086956522
212,45.3913043478261,-115.652173913043
213,45.3913043478261,-113.478260869565
214,45.3913043478261,-111.304347826087
215,45.3913043478261,-109.130434782609
216,45.3913043478261,-106.95652173913
217,45.3913043478261,-104.782608695652
218,45.3913043478261,-102.608695652174
