file,is_multiple,is_night,is_male_or_queen,is_flagged,is_nest,time
99722266 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,10.191828640000494
99725141 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,8.101325075999739
99726327 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,6.873950887999854
99727863 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,Y,13.149305226999786
99728661 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,8.237263823999456
99729178 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,5.134824132000176
99732460 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,18.182499206000102
99735005 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,5.321350557000187
99740469 Solenopsis invicta 2021-10-29.jpg,Y,Y,N,N,Y,10.625565769999412
99743487 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,N,10.143310016999749
99744248 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,Y,10.888764571000138
99753867 Solenopsis invicta 2021-10-29.jpg,Y,N,N,N,N,23.109630872999332
99805443 Solenopsis invicta 2021-10-30.jpg,Y,N,N,N,Y,5.99401527200007
99813709 Solenopsis invicta 2021-10-30.jpg,Y,N,N,N,Y,6.700171047000367
99820413 Solenopsis invicta 2021-10-30.jpg,N,N,N,N,N,8.408059305999814
99829615 Solenopsis invicta 2021-10-30.jpg,Y,Y,N,N,Y,9.634030460000758
99890330 Solenopsis invicta 2021-10-31.jpg,Y,N,N,N,N,5.057441144999757
99918205 Solenopsis invicta 2021-10-31.jpg,Y,N,N,N,N,10.520670451000115
99932372 Solenopsis invicta 2021-10-31.jpg,Y,N,N,N,Y,13.302700102000017
99938294 Solenopsis invicta 2021-10-30.jpg,N,N,N,N,N,98.43119987099999
99987367 Solenopsis invicta 2021-10-28.jpg,Y,N,N,N,N,17.57211839499996
99997111 Solenopsis invicta 2021-11-01.jpg,Y,N,N,N,Y,9.330867702999967
