file,is_night,is_multiple,is_flagged,is_male_or_queen,is_nest,time
99603773 Solenopsis invicta 2021-10-26.jpg,N,Y,N,N,Y,10.734000000004016
99646540 Solenopsis invicta 2021-10-26.jpg,N,Y,N,N,Y,4.328000000001339
99650876 Solenopsis invicta 2021-10-28.jpg,N,Y,N,N,Y,3.8440000000045984
99673260 Solenopsis invicta 2021-10-28.jpg,N,Y,N,N,Y,8.43699999999808
99706381 Solenopsis invicta 2021-10-29.jpg,N,N,N,N,N,10.5
99722266 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,19.485000000000582
99725141 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,7.2189999999973224
99726327 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,33.06199999999808
99727863 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,4.188000000001921
99728661 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,N,11.875
99729178 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,18.64100000000326
99732460 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,N,20.093999999997322
99735005 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,9.514999999999418
99740469 Solenopsis invicta 2021-10-29.jpg,Y,Y,N,N,Y,4.796999999998661
99743487 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,N,15.639999999999418
99744248 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,5.953000000001339
99753867 Solenopsis invicta 2021-10-29.jpg,N,Y,N,N,Y,7.8439999999973224
99805443 Solenopsis invicta 2021-10-30.jpg,N,Y,N,N,Y,3.6569999999992433
99813709 Solenopsis invicta 2021-10-30.jpg,N,Y,N,N,Y,3.688000000001921
99820413 Solenopsis invicta 2021-10-30.jpg,N,N,N,N,N,6.485000000000582
99829615 Solenopsis invicta 2021-10-30.jpg,Y,Y,N,N,Y,5.5939999999973224
99890330 Solenopsis invicta 2021-10-31.jpg,N,Y,N,N,N,7.4060000000026776
99918205 Solenopsis invicta 2021-10-31.jpg,N,Y,N,N,N,12.06199999999808
99932372 Solenopsis invicta 2021-10-31.jpg,N,Y,N,N,Y,3.186999999998079
99938294 Solenopsis invicta 2021-10-30.jpg,N,N,N,N,Y,15.671999999998661
99951627 Solenopsis invicta 2021-10-31.jpg,N,Y,N,N,Y,5.063000000001921
99987367 Solenopsis invicta 2021-10-28.jpg,N,Y,N,N,N,5.937000000005355
99997111 Solenopsis invicta 2021-11-01.jpg,N,Y,N,N,Y,9.389999999999418
