"","species","season","cell","cell_lat","cell_lon","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","is_sig_except_off","is_sig_except_man","is_sig_anov_onset","is_sig_onset_offset","midday_dist","genus"
"1","Solenopsis invicta","1",544,28.0869565217391,-79.1304347826087,11,0.295559173803275,4.71303613233205e-05,5.83701831646002,3.41412700936785,10.9858364287869,7.74931618521727,7.10850039395259,7.9834725659386,14.2232635450953,20.3576691678402,15.7251609183642,26.1055229851925,17.6363821370359,17.4183874577746,18.2561486623648,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.776736454904745,"Solenopsis"
"2","Solenopsis invicta","3",544,28.0869565217391,-79.1304347826087,12,0.540874851938533,0.000214957454548078,9.44195223279368,8.40500445117594,11.2334306659098,6.94941996655482,6.838310862556,7.67072086340536,15.1083802799659,18.9771482663876,17.4172701726116,20.6838606560299,20.9945047720618,20.2474816506242,21.6108538352903,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.108380279965875,"Solenopsis"
"3","Camponotus floridanus","3",544,28.0869565217391,-79.1304347826087,13,0.492174868918799,0.107920232162992,3.31283058516556,3.59347017760934,9.74714752016125,7.02207440592817,6.36849466365378,7.13649536221021,14.9385246455391,23.441363229437,19.2977950160051,24.3199328245934,21.3057879033971,20.3938129778813,21.857580324684,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0614753544609492,"Camponotus"
"4","Pogonomyrmex badius","1",544,28.0869565217391,-79.1304347826087,13,0.123609429523846,1.9726356135698e-13,7.82241180858966,6.13599951349793,11.3445016870385,7.26455545271923,6.98861280074708,8.24590028831923,14.0420414394668,20.1195524943684,14.4042836080862,22.6446016584233,17.950568760365,17.4031696587728,18.8587346356082,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.957958560533173,"Pogonomyrmex"
"5","Pogonomyrmex badius","4",544,28.0869565217391,-79.1304347826087,10,0.501591099444208,0.0432839023472916,7.53073598829319,6.69412827258366,11.0276244878429,6.33902553428404,5.44131132081808,7.70881204768665,12.0360752589334,15.2946727018555,12.8767387711265,16.2315802149264,19.192623002501,18.5128650991504,19.9393231052502,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2.96392474106658,"Pogonomyrmex"
"6","Camponotus chromaiodes","2",548,38.8695652173913,-79.1304347826087,12,0.377481974361325,5.34682757931098e-07,7.09630237941494,5.21373784191901,8.65441281842562,6.99885889184821,6.76575147573031,8.04555726827738,13.0611119966011,19.4635249107627,16.244131173434,20.614063692881,22.2583731694952,21.348243436303,23.4950376013273,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.93888800339887,"Camponotus"
"7","Formica exsectoides","2",548,38.8695652173913,-79.1304347826087,9,0.783051470919931,0.00349187332690611,10.8623990543018,8.70623256709909,12.8118449425329,5.00497156011819,4.45417597135983,6.12033616339826,14.2094551183824,16.7795151796086,15.209491240575,18.6391688645253,21.8046376941147,21.2821548575958,23.2824589750356,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.790544881617622,"Formica"
"8","Formica exsectoides","3",548,38.8695652173913,-79.1304347826087,9,0.819194926347646,0.00564355415553903,9.15100291929767,5.63645434772525,10.6599540561752,6.06996245132472,5.41776957525638,7.23629257849425,13.6610689361055,19.0660204822198,18.3012802843317,22.1889601017547,22.2543559664887,21.1961193103226,23.1415482086581,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.33893106389445,"Formica"
"9","Camponotus pennsylvanicus","2",548,38.8695652173913,-79.1304347826087,53,0.446363070885307,5.95580205776245e-18,7.00434853803683,5.27695795735157,8.85175151207446,5.47371096648655,4.98047782645141,6.61264250836648,13.7197862274201,18.9030560043192,17.563072041901,20.0007196768809,20.8662256669395,20.6111158784879,22.8736770505561,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.28021377257991,"Camponotus"
"10","Camponotus pennsylvanicus","3",548,38.8695652173913,-79.1304347826087,33,0.11215819293666,2.16786274752696e-15,6.50640261323552,4.42352407745234,7.84962275051885,7.50075707447949,6.65432230565259,8.02764252876272,13.5225130810933,22.1451527604439,20.1035977682362,23.7762511397998,22.0885205675877,21.3619706087512,22.7262323018832,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.47748691890674,"Camponotus"
"11","Camponotus pennsylvanicus","4",548,38.8695652173913,-79.1304347826087,9,0.654949034233789,8.96537388675262e-10,5.64087849011273,3.40526354346354,8.3015069015882,7.22884581126262,5.79002143273025,8.19823932329462,13.6593345278897,19.2453337855162,16.3276534791968,22.1339912402869,21.6355433671297,20.1734235425004,23.103448009909,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.34066547211026,"Camponotus"
"12","Camponotus castaneus","2",548,38.8695652173913,-79.1304347826087,30,0.407491575830989,0.000421975971258779,8.12940349618199,6.92109528521753,10.7894846636678,5.35153248193924,4.03866649236302,5.50655955030621,13.7129517270255,18.2386051405669,17.548887545497,19.3029752982712,21.3645606624155,20.5991672093223,22.8232184836964,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.28704827297453,"Camponotus"
"13","Camponotus castaneus","3",548,38.8695652173913,-79.1304347826087,25,0.243868417529706,0.0206617555169321,9.30385008515522,5.94425874029548,11.1849338829602,6.41127375823391,5.9456243282377,7.36714238204052,17.1434436726574,23.1442019133748,22.0680450271877,24.7989739733419,22.0444822685346,20.7290605950553,23.1941851656189,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.14344367265743,"Camponotus"
"14","Camponotus castaneus","4",548,38.8695652173913,-79.1304347826087,27,0.163378253637578,0.00381730553796612,3.52092694573001,1.312111999363,9.18884660031264,6.01528082767047,5.31434249303123,6.74043999478404,12.9251744189674,25.4770976389599,20.8430886310698,26.0890617683692,22.1597369398707,21.5028863162645,23.3648878919684,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.07482558103258,"Camponotus"
"15","Prenolepis imparis","2",548,38.8695652173913,-79.1304347826087,20,0.206398591698718,0.00311887018257093,10.0394701185274,8.10755741735389,11.312825537154,5.65362587620227,4.67788335097465,6.83386921666137,14.7299039330622,18.9602755043545,17.5796416266899,19.9193146331957,22.0568751772379,21.1855529674514,22.9114166891909,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.270096066937812,"Prenolepis"
"16","Prenolepis imparis","1",566,38.8695652173913,-76.4347826086957,65,0.851467288224057,1.82298087196327e-25,8.41651303304433,6.27587657750819,9.64154640636073,7.84089869123661,7.47986922572132,8.09567811877521,14.216997785238,18.48557785131,16.711809568529,19.7683039328723,19.8887497656822,19.0542176319521,20.7937051774714,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.783002214761977,"Prenolepis"
"17","Prenolepis imparis","2",566,38.8695652173913,-76.4347826086957,150,0.601004644033117,0.00418074110811102,8.39511152290301,7.1838165051161,9.40674188109711,7.6551800706333,6.8648905815657,7.80640924910879,14.0811115663511,18.8044186272839,18.5316183231351,19.4336977428283,21.297790045774,20.3626990289286,22.1498378939662,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.918888433648933,"Prenolepis"
"18","Prenolepis imparis","3",566,38.8695652173913,-76.4347826086957,14,0.729116099212976,0.000319428485409902,6.75406330399869,3.21511067386965,11.4092957949402,4.97254388905089,4.32093365576478,6.01989203618277,14.4464792736566,21.0878921330931,18.6882966031689,23.8501944893645,22.3268337305184,20.8106577025119,23.5725227596612,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.553520726343393,"Prenolepis"
"19","Prenolepis imparis","4",566,38.8695652173913,-76.4347826086957,79,0.279280442302183,0.0157693206347106,8.19893815106519,7.00709295366587,8.40395154138738,7.17922729835768,5.80294620891594,7.41398964777674,15.252270909908,22.8542365963306,20.1837072898569,24.0106849289975,21.139880880106,20.7046392799706,22.1430847583407,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.25227090990799,"Prenolepis"
"20","Camponotus chromaiodes","1",566,38.8695652173913,-76.4347826086957,13,0.952959795445067,3.24159583713892e-06,10.0201392650821,7.03102553572345,13.1096791758642,7.68222656033284,7.1876973931051,8.74909274061529,13.1439420932322,16.6099533744369,15.5061147057009,18.1174702417384,19.6390851769432,18.4795366207733,20.699909705617,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.85605790676775,"Camponotus"
"21","Camponotus chromaiodes","2",566,38.8695652173913,-76.4347826086957,150,0.0659860439214739,1.12428388617626e-09,7.50207419086954,7.13477337489271,8.46669330138945,5.84429496511035,5.42268132042476,7.12354407703356,14.644747954942,21.3299085281337,19.3836677217021,21.7673285855923,21.6320194093981,20.5275220179098,22.5873906033381,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.355252045057952,"Camponotus"
"22","Camponotus chromaiodes","3",566,38.8695652173913,-76.4347826086957,68,0.150523255368706,1.18110576773818e-05,6.93661154221662,6.55522760421613,8.44318117516999,5.89753764041691,5.4574471938706,6.13522559408229,13.1658449378309,18.4219713948358,17.4844889420647,19.1736157825296,22.6372253360636,20.8884690929801,23.2814660889523,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.83415506216905,"Camponotus"
