"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"1","Solenopsis invicta",1,739,26.7391304347826,56,0.797358489314824,2.90769772321155e-10,6.89055292514746,6.47286988892964,7.87877234189867,7.77339820446804,7.14493809727524,8.40756788253953,13.235475684096,19.8696807788014,17.4338314957367,21.3838970400738,18.8786250565087,18.2178785586529,20.1105972722203,TRUE,TRUE,TRUE,1.76452431590402,"Solenopsis"
"2","Solenopsis invicta",2,739,26.7391304347826,49,0.0383097868906296,1.35960824339254e-06,8.16284601345535,7.40924302688193,9.52055746523861,6.38468243908801,5.73909976465867,6.70900967319415,14.5245159167615,20.4748102059232,19.079102795962,21.8576006885618,20.3715288619459,19.5002925100549,20.7776709096595,FALSE,TRUE,TRUE,0.475484083238451,"Solenopsis"
"3","Solenopsis invicta",3,739,26.7391304347826,22,0.0373591747604544,0.00159798530915044,4.46792781328856,3.4247365728364,9.1359112679043,5.77776890317974,5.39966509882757,6.67468435920237,13.4051610041039,23.9460586734708,18.8781363392939,27.0861563221697,19.6330904394859,18.2904255213338,20.4346001251368,TRUE,TRUE,TRUE,1.59483899589613,"Solenopsis"
"4","Solenopsis invicta",4,739,26.7391304347826,26,0.0895240702841629,1.32397095145337e-05,8.45449327828022,6.59446432999184,10.1064132670785,7.42546773152279,7.00020507947815,7.73962941060124,14.981863367181,20.2204299158479,19.6701516708438,22.01104413396,18.060326665978,17.7712441155691,18.9950594271025,TRUE,FALSE,TRUE,0.0181366328189974,"Solenopsis"
"5","Tapinoma melanocephalum",1,739,26.7391304347826,18,0.850710410593505,5.05959483361083e-15,7.40026178555829,5.22105237747131,15.7479402397086,7.70545842957848,7.13995102491643,8.42931894711453,13.469657224044,19.5812974998349,18.3988101740114,20.91402201959,18.6123672083329,17.4232646641653,18.9305218536581,TRUE,TRUE,TRUE,1.53034277595601,"Tapinoma"
"6","Tapinoma melanocephalum",2,739,26.7391304347826,17,0.29666653982422,2.09923054790702e-06,6.49555814616334,5.76853951592518,10.0155573938089,6.89994297773934,6.91947324448847,8.28410199961917,14.0669347706517,19.8657930468179,17.3896959563652,21.0011130424804,20.7405565101675,19.729436533692,21.2495511917159,TRUE,TRUE,TRUE,0.933065229348257,"Tapinoma"
"7","Tapinoma melanocephalum",3,739,26.7391304347826,10,0.966017579716288,0.920835204541698,NA,NA,NA,6.47760569730123,5.98622604028677,6.90062105177001,12.8012977453007,20.546886508516,17.2520855433409,25.4413928554222,20.3637025967526,19.6748441793682,21.1903368655874,NA,TRUE,NA,2.19870225469928,"Tapinoma"
"8","Dorymyrmex bureni",1,739,26.7391304347826,45,0.639320008355419,3.21642805992673e-11,8.13375895816352,7.41937153821311,9.34384246537743,7.22526193545389,6.91364862218695,8.04539841034169,13.252410199895,17.2148465101814,16.4507272861387,17.8810073739792,18.918782160454,18.051130344513,19.9419582454422,TRUE,FALSE,TRUE,1.74758980010498,"Dorymyrmex"
"9","Dorymyrmex bureni",2,739,26.7391304347826,31,0.696407886225174,0.340825682920668,7.0341910600479,6.8726186437779,8.91623419113111,6.72647528292723,6.46167339095114,7.74091107314628,13.8631303885119,18.9025485796786,17.9819838629114,19.9100378774304,20.6190743030501,18.9110148183456,20.8000015994696,TRUE,TRUE,FALSE,1.13686961148807,"Dorymyrmex"
"10","Dorymyrmex bureni",3,739,26.7391304347826,10,0.870734255048465,0.419830422794557,5.65857960261509,4.37777901549259,8.53725490702715,5.71962841191595,5.34076352311867,7.12055149376037,13.3660293515015,19.8729530152389,14.571482105043,21.3703625443942,19.8539821534175,18.386038718233,20.3664021327713,TRUE,TRUE,FALSE,1.63397064849846,"Dorymyrmex"
