"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol"
"1","Solenopsis invicta",1,312,28.2463768115942,66,0.375058291294115,2.56253815460649e-14,7.81910181027922,6.3938211467236,9.70529882484091,7.37705610854274,6.79304482815883,7.9613927465724,13.6468769836724,18.7648722747699,17.3070248516956,19.5238398202361,19.1585946696024,18.3388700601604,19.8353382615325,TRUE,TRUE
"2","Solenopsis invicta",2,312,28.2463768115942,93,0.0111325431043607,0.000296406874521522,7.84818388258199,7.36199495631319,9.25463335482106,7.15578788303105,6.86883148513743,7.61259351063438,14.8633048370576,20.6561809761009,20.4853340030182,21.3787555044688,18.8958229834311,17.6601560104397,19.2621964501215,TRUE,FALSE
"3","Solenopsis invicta",3,312,28.2463768115942,48,0.0342728715087653,2.80659081210431e-10,7.65963643054928,6.17945542743994,9.44611637422338,6.31852584244144,6.2743483890285,6.88908192247177,14.7457885417439,20.7428684419088,19.7198842270457,22.2657951904315,19.5730597836819,18.6170600537003,20.0820502059009,TRUE,TRUE
"4","Solenopsis invicta",4,312,28.2463768115942,61,0.0128936153601948,2.27480604656334e-10,7.93424931049002,6.83250547295273,8.43501667982728,6.78865548658015,5.97311583415954,7.4749798442988,14.3433275257558,20.1972744684255,19.3258604907618,21.2913703342595,18.9090122602251,18.1530724330883,19.8179631479727,TRUE,TRUE
"5","Tapinoma melanocephalum",1,312,28.2463768115942,10,0.685608180829253,3.31218020641351e-07,4.39506377432734,3.09219874936545,13.4211002495678,7.32266468607496,6.44637745519899,8.35304081484678,14.5286856618824,23.8550096033755,16.614932250682,27.7320528269626,18.860440729277,17.8884418193973,20.1914618697201,TRUE,TRUE
"6","Tapinoma melanocephalum",3,312,28.2463768115942,11,0.292652424230062,0.318978724484923,8.54915174302038,5.38412098865357,10.3730465270841,6.20838690615895,5.62875782681372,6.86318193781377,15.4232334896546,21.7189037557617,15.6066272600541,25.0322987174704,18.7392383490426,17.8210362034122,19.816627131873,TRUE,TRUE
"7","Tapinoma melanocephalum",4,312,28.2463768115942,10,0.686691128839109,0.000585615382516998,6.10424405126135,4.63741896703276,7.66775944893521,6.81631295343562,6.19522209624997,7.28148849698401,13.6529759154147,19.6323883309218,17.0114031693112,23.1115924076615,19.3305383875483,18.5715889696473,19.8734230057211,TRUE,TRUE
"8","Camponotus planatus",1,312,28.2463768115942,15,0.959321331533161,2.85435988295833e-07,7.49466098349359,5.31975853100876,9.52583446987522,7.68797200963309,7.25336262655006,8.60987551195054,12.6327515402497,17.5933842544169,16.6031207638932,19.3492155796415,18.4532267856141,17.4976417602739,19.700893472642,TRUE,TRUE
"9","Camponotus planatus",2,312,28.2463768115942,38,0.32709948487598,8.76204906206828e-05,8.47895142647161,7.01999178515829,10.7229559023534,7.30487072022912,6.83958581085085,8.08454485482468,14.6514676586281,19.8430762166856,18.9780794798439,22.7350234159919,18.2842863840694,17.5806589192813,19.6008288002105,TRUE,TRUE
"10","Camponotus planatus",3,312,28.2463768115942,31,0.224827400076241,0.053087678173265,8.07300676145948,6.96654915231771,9.75485523093754,6.0472068984837,5.76175667423668,6.78606695526427,15.0320018412383,20.5876834278724,18.8059627748964,22.7068957637839,20.1454929232716,18.5755716407023,21.4139566880212,FALSE,TRUE
"11","Camponotus planatus",4,312,28.2463768115942,34,0.323220740584152,0.0282803124248425,7.27454572184169,6.8676567399877,9.5763704410312,6.91788429052826,6.68958534060218,7.27080233907116,13.6641732961387,19.4081805875359,17.9441553141046,19.7942310705592,19.2655436071321,18.2095260193371,20.688792335556,TRUE,TRUE
"12","Dorymyrmex bureni",1,312,28.2463768115942,23,0.0441824509216905,2.56450761125253e-09,7.17398451709414,4.5615271348816,8.95100681830269,7.88814837112301,7.26474872143071,8.45735509073125,14.7635424134129,22.5173102275054,19.5046289866022,23.6442415751588,17.8975630159638,17.088908583255,18.1960318035261,TRUE,FALSE
"13","Dorymyrmex bureni",2,312,28.2463768115942,49,0.24912492208402,0.214117938104283,6.4741639450667,5.18737365357714,9.93269768673628,6.52162269183346,5.85466340319793,7.58849022906046,13.7754434237707,20.9710292766774,19.5304364006701,22.7892710747439,19.7551313936579,19.0854824076555,20.4060084285253,TRUE,TRUE
"14","Dorymyrmex bureni",3,312,28.2463768115942,37,0.093046464745359,0.000125927087838566,6.61071181807818,5.95962676383884,9.41439053103499,5.77059187664443,5.26441831475463,6.38445407903681,13.0534765510176,19.3482223923845,18.4076254135279,20.3623403781295,19.1719193089914,18.0850201748527,20.01630810091,TRUE,TRUE
"15","Dorymyrmex bureni",4,312,28.2463768115942,44,0.310044837661892,0.426043566585079,7.77596819492721,5.90168149314935,9.78122896277677,7.01848464201436,6.58471954194222,7.65201822674373,13.9853678783212,19.3320864002334,18.1625272380448,20.654114661373,19.4766595995185,18.3303029725133,20.0352065954588,TRUE,TRUE
"16","Pseudomyrmex gracilis",1,312,28.2463768115942,26,0.94618213924596,6.44110281675392e-09,9.11267685817415,8.32190934975777,11.7923999181457,7.23507831560949,6.69782579644467,8.51324285793151,13.976809047058,17.1394892827931,16.5430838044612,17.6218660059107,19.0053403698999,17.8008572462681,19.2440031873172,TRUE,FALSE
"17","Pseudomyrmex gracilis",2,312,28.2463768115942,74,0.654261050092189,1.09652378474158e-07,7.27445748558206,5.59279448985907,7.9850281321622,6.90340315451142,6.63291472816375,8.05306714364373,13.9381749680729,19.7179316624589,18.3878001039905,20.2439990208151,19.3946867069511,18.4061094735809,20.4298121832497,TRUE,TRUE
"18","Pseudomyrmex gracilis",3,312,28.2463768115942,81,0.968030314253224,0.00389220564794938,6.03280921230329,5.39151293786347,7.0475991706225,6.24823792250011,5.78577769835059,6.66384588792237,13.5053681274077,20.748487063365,19.4655623225785,21.187945733944,19.7384326915155,18.4661372301575,20.1698592641919,TRUE,TRUE
"19","Pseudomyrmex gracilis",4,312,28.2463768115942,63,0.370357233984453,3.37344245299285e-06,8.17347370782107,6.42626215595018,8.79382592581739,6.84288078234419,6.27477330679049,7.37100052644337,13.9075398390261,18.365799136687,17.2044393141307,19.2553548331576,19.0640849170379,17.6574372688037,19.6206627481323,TRUE,TRUE
"20","Camponotus floridanus",1,312,28.2463768115942,58,0.460285960963188,9.6577075932507e-18,7.30451717603375,5.95265637836752,8.90164649332367,7.39331340159448,6.75778643948168,8.06058403648623,14.8530484197406,21.0235955171474,19.7038006432254,22.4331026456014,18.6903101098101,18.5440514641063,19.8240925860046,TRUE,TRUE
"21","Camponotus floridanus",2,312,28.2463768115942,111,0.0172511317010927,5.78067937468055e-05,7.3269053840688,6.85365922538748,8.56520459158753,7.00494170821331,5.51024606712082,7.71452618916454,14.1659118976403,20.6064542320092,20.0292255467534,21.2450074226891,19.3043775653819,19.2552454960342,20.5384165174596,TRUE,TRUE
