"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"1","Solenopsis invicta",1,544,28.0869565217391,11,0.373295013268556,2.57470024050956e-05,6.51966572499144,4.77203275079374,16.2756190646869,8.16183953314174,7.821558196497,9.2898269255344,13.8682103543648,20.3400014843694,14.5060285194473,22.5983931772393,17.4220165087381,16.2225078045706,18.0938854843399,TRUE,TRUE,TRUE,1.13178964563524,"Solenopsis"
"2","Solenopsis invicta",3,544,28.0869565217391,12,0.335074560175072,0.000237046384933433,9.05451903554342,6.85651690695893,10.8065536295515,6.66794518348525,5.90955865815798,7.02301661459804,14.252799007425,20.2259946720078,16.7955116325009,19.9999519396455,20.500840505596,19.8098979627141,21.4482976975567,TRUE,TRUE,TRUE,0.74720099257498,"Solenopsis"
"3","Camponotus floridanus",3,544,28.0869565217391,13,0.444844864281151,0.109106596458633,4.8991334236141,1.37147930856339,7.18858270658161,6.81451300322983,6.18947053699056,8.02113367375511,12.6629977106717,25.4656794047597,20.5320206779392,24.8152402661073,21.1598874815391,20.4033491761522,22.2773170429346,TRUE,TRUE,FALSE,2.33700228932831,"Camponotus"
"4","Pogonomyrmex badius",1,544,28.0869565217391,13,0.0803161948965675,1.55858206876156e-13,7.82580131054517,6.86513820343117,9.6661105125477,7.79972183484694,6.70864654957867,9.27735387924531,14.3970454452528,20.5473486277256,18.8417212846914,23.9642810513094,17.4001914642055,16.6551573777543,18.4531902655913,TRUE,FALSE,TRUE,0.602954554747212,"Pogonomyrmex"
"5","Pogonomyrmex badius",4,544,28.0869565217391,10,0.559116004945567,0.0502126775253877,7.78856749795304,6.26405171057613,10.5318018233085,6.97163522983498,5.61362572808516,7.63389877305326,12.0219612236562,15.3274423328279,12.5565914109196,15.8599241993393,18.1733035289837,17.351024811837,18.9066906965602,TRUE,FALSE,TRUE,2.9780387763438,"Pogonomyrmex"
"6","Camponotus chromaiodes",2,548,38.8695652173913,12,0.964717602506198,6.33246486581028e-08,7.08230260973962,5.23765245111402,9.15310943934755,5.42204256534264,4.23881293580746,6.20802675321905,13.0832542117601,18.170215524423,14.5225208385465,20.4640710403794,21.4523819435023,20.6661997991342,22.714948795635,TRUE,FALSE,TRUE,1.91674578823993,"Camponotus"
"7","Formica exsectoides",2,548,38.8695652173913,9,0.724288611129817,0.00136649948752302,10.2060155997776,10.3629792731576,13.2679857303855,4.98858557442779,4.124480690529,6.41065300037827,14.2167107884306,17.4907902814627,15.1419634305837,18.1954934733894,21.5533096490327,19.8744900341592,23.419030321036,FALSE,FALSE,TRUE,0.783289211569409,"Formica"
"8","Formica exsectoides",3,548,38.8695652173913,9,0.65948976969877,0.00861042075530768,8.5045836291251,6.7999237855773,15.4709538492659,5.82400034462083,5.38344288994327,6.53260542780379,14.7350955890086,20.0202087083631,15.8755524693546,21.1619993837656,22.050790218203,20.7143483073741,22.9869536264178,FALSE,TRUE,TRUE,0.264904410991427,"Formica"
"9","Camponotus pennsylvanicus",2,548,38.8695652173913,53,0.491508558290495,6.48046564068202e-18,7.26105820962723,6.80960810931495,8.75245630108715,5.59867751632729,4.59236490570468,7.13373415662828,13.3434882029559,19.4656638270173,17.1465447667852,20.4170794703567,21.1654919666574,20.5119723059784,22.1720292032345,TRUE,FALSE,TRUE,1.65651179704414,"Camponotus"
"10","Camponotus pennsylvanicus",3,548,38.8695652173913,33,0.883707671397502,5.2077403414555e-13,5.79433636799656,4.36232550718494,6.36424985060934,6.36841005360364,5.32087786184595,7.01482050276098,13.0730653845191,22.6003694601634,20.6072223171394,24.8518412647217,20.9238301660241,19.7218960647766,22.3332140134517,TRUE,TRUE,TRUE,1.92693461548091,"Camponotus"
